iter	Passed	Remaining
706	8084	3350
707	8091	3337
708	8105	3326
709	8117	3315
710	8130	3304
711	8138	3292
712	8150	3280
713	8159	3268
714	8166	3255
715	8173	3241
716	8185	3230
717	8193	3218
718	8204	3206
719	8216	3195
720	8251	3192
721	8271	3185
722	8291	3176
723	8309	3167
724	8326	3158
725	8342	3148
726	8359	3139
727	8386	3133
728	8413	3127
729	8427	3116
730	8445	3107
731	8459	3097
732	8473	3086
733	8491	3077
734	8508	3067
735	8524	3057
736	8532	3044
737	8544	3033
738	8556	3022
739	8563	3008
740	8576	2997
741	8587	2985
742	8598	2974
743	8613	2963
744	8625	2952
745	8634	2939
746	8644	2927
747	8653	2915
748	8659	2901
749	8667	2889
750	8678	2877
751	8691	2866
752	8699	2853
753	8711	2842
754	8724	2831
755	8733	2818
756	8744	2807
757	8752	2794
758	8759	2781
759	8771	2770
760	8779	2757
761	8791	2745
762	8806	2735
763	8820	2724
764	8828	2711
765	8840	2700
766	8849	2688
767	8856	2675
768	8866	2663
769	8875	2651
770	8887	2639
771	8897	2627
772	8915	2618
773	8922	2605
774	8932	2593
775	8943	2581
776	8950	2568
777	8957	2555
778	8970	2544
779	8981	2533
780	8992	2521
781	9004	2510
782	9017	2499
783	9026	2486
784	9037	2475
785	9045	2462
786	9052	2449
787	9059	2437
788	9071	2425
789	9083	2414
790	9093	2402
791	9108	2392
792	9117	2379
793	9129	2368
794	9138	2356
795	9145	2343
796	9152	2331
797	9166	2320
798	9174	2307
799	9186	2296
800	9194	2284
801	9210	2273
802	9219	2261
803	9230	2250
804	9238	2237
805	9252	2226
806	9263	2215
807	9277	2204
808	9287	2192
809	9298	2181
810	9311	2169
811	9319	2157
812	9326	2145
813	9333	2132
814	9346	2121
815	9362	2111
816	9370	2098
817	9384	2087
818	9391	2075
819	9403	2064
820	9410	2051
821	9419	2039
822	9431	2028
823	9443	2017
824	9452	2005
825	9463	1993
826	9476	1982
827	9484	1970
828	9497	1959
829	9509	1947
830	9518	1935
831	9525	1923
832	9532	1911
833	9545	1899
834	9558	1888
835	9567	1876
836	9579	1865
837	9591	1854
838	9606	1843
839	9615	1831
840	9622	1819
841	9628	1806
842	9642	1795
843	9654	1784
844	9664	1772
845	9675	1761
846	9688	1750
847	9697	1738
848	9708	1726
849	9717	1714
850	9723	1702
851	9734	1690
852	9743	1679
853	9755	1667
854	9764	1655
855	9782	1645
856	9789	1633
857	9802	1622
858	9810	1610
859	9822	1599
860	9831	1587
861	9837	1574
862	9846	1563
863	9866	1553
864	9876	1541
865	9888	1530
866	9901	1518
867	9910	1507
868	9921	1495
869	9935	1484
870	9943	1472
871	9954	1461
872	9967	1450
873	9978	1438
874	9990	1427
875	10002	1415
876	10011	1404
877	10017	1391
878	10025	1380
879	10037	1368
880	10049	1357
881	10058	1345
882	10069	1334
883	10082	1323
884	10092	1311
885	10105	1300
886	10112	1288
887	10119	1276
888	10130	1264
889	10138	1253
890	10150	1241
891	10159	1230
892	10171	1218
893	10182	1207
894	10193	1195
895	10203	1184
896	10210	1172
897	10217	1160
898	10224	1148
899	10235	1137
900	10247	1125
901	10260	1114
902	10268	1103
903	10280	1091
904	10294	1080
905	10303	1069
906	10310	1057
907	10317	1045
908	10330	1034
909	10339	1022
910	10350	1011
911	10358	999
912	10372	988
913	10379	976
914	10392	965
915	10404	954
916	10413	942
917	10426	931
918	10440	920
919	10447	908
920	10459	897
921	10471	885
922	10480	874
923	10493	863
924	10504	851
925	10511	840
926	10524	828
927	10533	817
928	10544	805
929	10553	794
930	10565	783
931	10577	771
932	10587	760
933	10600	749
934	10607	737
935	10614	725
936	10627	714
937	10640	703
938	10652	691
939	10662	680
940	10669	668
941	10675	657
942	10686	645
943	10695	634
944	10702	622
945	10708	611
946	10719	599
947	10728	588
948	10737	577
949	10752	565
950	10759	554
951	10771	543
952	10785	531
953	10794	520
954	10801	508
955	10807	497
956	10820	486
957	10828	474
958	10840	463
959	10853	452
960	10867	441
961	10874	429
962	10887	418
963	10895	406
964	10902	395
965	10908	383
966	10921	372
967	10929	361
968	10940	350
969	10953	338
970	10967	327
971	10974	316
972	10986	304
973	10995	293
974	11002	282
975	11009	270
976	11021	259
977	11028	248
978	11040	236
979	11051	225
980	11065	214
981	11073	202
982	11086	191
983	11094	180
984	11102	169
985	11114	157
986	11123	146
987	11134	135
988	11142	123
989	11154	112
990	11161	101
991	11168	90
992	11180	78
993	11188	67
994	11195	56
995	11202	44
996	11215	33
997	11223	22
998	11236	11
999	11247	0
